5 100
4 15 6
0 8 15
0 15 19
0 7 9
0 13 17
7 5 10
1 1 3
0 8 14
0 2 13
0 9 13
10 0 16
9 2 1
1 2 15
0 7 17
0 4 1
0 0 10
6 1 18
6 7 17
7 2 3
0 6 7
8 12 19
10 6 8
2 6 12
8 8 16
1 6 12
7 12 7
0 15 7
0 6 7
0 9 13
2 14 11
8 13 17
7 2 20
10 15 12
3 0 14
8 7 15
6 12 8
8 11 14
10 5 4
6 4 16
9 6 17
1 9 4
7 0 16
6 4 19
4 10 13
6 15 19
1 13 3
2 0 16
10 15 20
5 15 1
2 3 13
3 0 7
5 8 16
1 13 1
8 12 6
10 2 20
3 5 20
4 5 5
5 6 7
5 10 11
7 3 8
3 13 18
7 4 15
5 9 4
0 9 0
7 15 15
0 8 19
8 7 12
4 9 18
1 6 0
9 5 15
9 2 17
1 9 13
6 8 4
5 5 14
5 7 2
2 3 17
4 11 17
1 4 8
0 1 11
9 9 18
5 15 14
3 5 18
7 14 2
1 13 4
10 2 8
4 14 15
4 12 10
10 15 6
10 3 8
1 6 12
1 14 5
5 10 19
9 5 11
3 10 10
10 1 2
4 1 17
1 0 7
1 15 1
10 10 11
2 0 6
3 1 3
1 8 15
9 1 9
4 8 12
3 5 13
4 10 19
8 13 6
9 2 7
5 0 6
2 13 8
7 12 3
6 8 7
5 9 17
3 9 10
3 2 13
6 12 15
4 15 0
4 11 9
1 8 4
8 14 8
7 7 20
10 10 19
10 7 13
5 14 3
8 14 13
5 5 11
8 10 16
4 9 7
0 8 10
2 13 3
10 7 1
6 4 14
1 0 20
6 1 15
6 6 11
3 13 10
8 6 11
4 9 6
10 9 2
10 13 13
10 3 9
6 0 10
2 4 16
0 2 1
6 7 17
5 9 0
4 10 8
4 2 9
6 4 20
1 14 12
6 8 11
7 3 4
6 7 14
5 15 10
2 3 8
8 5 0
4 8 5
6 15 10
5 14 12
0 3 2
8 12 3
1 7 8
2 7 7
3 2 15
0 7 0
0 14 5
4 1 14
6 7 11
10 12 20
9 4 13
4 11 3
6 11 11
0 4 7
10 4 0
2 15 11
8 12 15
1 3 0
4 3 13
0 9 18
1 5 2
4 5 15
6 9 0
0 5 9
5 14 12
4 12 18
2 2 10
8 0 20
1 9 9
2 12 20
9 7 3
2 1 2
5 14 12
4 2 16
10 0 19
8 11 1
10 11 5
4 10 1
4 9 0
3 2 17
1 5 10
6 9 20
7 15 1
2 5 7
0 8 8
0 11 13
3 0 12
0 7 14
5 10 15
4 3 5
9 4 15
0 8 0
6 15 5
8 7 20
10 14 18
0 4 14
6 8 8
9 15 16
5 6 0
10 2 12
8 14 10
5 5 10
10 4 2
3 5 9
3 7 16
3 2 5
2 4 8
6 1 1
3 1 6
1 6 1
7 3 10
8 3 11
1 6 4
10 5 15
8 8 13
1 2 16
4 8 10
4 6 2
10 8 4
0 1 6
3 8 10
10 13 7
10 4 15
3 12 18
8 10 0
5 1 20
2 8 16
3 14 8
2 14 18
2 9 12
10 1 18
2 4 1
2 11 3
0 3 13
0 0 13
2 0 17
9 11 7
4 7 3
0 7 1
9 1 14
2 0 20
6 3 9
8 2 16
0 8 19
9 13 0
6 14 14
6 10 18
3 3 15
5 13 1
4 9 4
0 15 0
7 10 12
9 14 11
5 15 14
1 5 14
6 2 20
0 10 1
1 11 11
9 6 7
8 0 17
8 5 13
9 7 13
0 5 14
6 15 2
0 12 11
8 0 1
9 11 11
8 7 16
10 3 14
10 13 19
3 2 14
7 9 6
4 8 18
9 11 14
8 9 5
4 14 11
4 9 19
10 11 3
0 3 9
6 2 2
10 12 8
4 11 3
5 0 3
8 10 9
9 8 13
4 3 5
7 6 12
7 9 1
6 15 19
2 3 5
5 3 12
9 13 14
2 14 10
10 1 2
1 13 3
7 2 3
0 15 14
4 9 12
10 13 17
7 10 4
8 1 4
7 7 6
7 14 18
3 5 11
1 4 14
6 4 7
0 12 5
8 8 3
8 6 10
2 13 11
2 2 16
3 10 2
0 1 5
6 15 14
7 3 16
1 15 3
2 3 20
5 2 3
0 12 1
6 12 3
0 13 1
6 4 0
4 1 4
6 12 4
8 12 14
7 11 0
10 5 18
3 12 6
7 2 10
9 4 6
3 0 8
4 10 2
9 7 0
4 12 0
0 11 10
2 12 6
2 9 19
2 5 9
6 6 3
0 12 5
3 6 0
9 15 9
10 8 5
2 6 4
7 12 16
3 10 18
0 9 6
8 9 10
0 15 8
9 15 10
4 5 5
1 13 0
1 11 9
5 3 20
1 13 11
4 14 19
1 12 10
2 4 19
6 3 7
2 2 1
0 13 6
8 11 10
4 14 2
4 10 13
9 8 10
0 15 1
7 10 11
1 12 20
0 9 14
9 0 16
0 4 8
4 11 13
0 11 19
2 15 15
3 10 4
2 10 12
4 14 4
8 12 4
7 11 1
8 5 9
10 2 14
10 2 15
3 13 10
3 10 18
10 10 18
1 13 0
3 11 14
6 15 8
8 6 7
5 7 8
7 2 8
10 7 15
3 15 15
8 15 13
8 13 3
5 5 20
7 13 4
10 2 7
5 5 17
2 9 18
7 3 13
10 10 16
0 6 4
3 1 16
2 0 1
1 7 15
10 13 17
10 0 19
8 6 8
3 2 14
6 5 3
4 12 9
